Nome;Idade;Peso (kg);Altura (m)
Thiago Fernandes;28/05/1978;86.25;2.06
Davi Cavalcanti;25/07/2010;139.77;1.42
Al°cia da Cunha;14/10/1943;65.71;1.84
Caio Almeida;13/06/1994;87.17;2.06
Srta. Rafaela da Conceiá∆o;09/01/1984;60.15;1.83
Joaquim Correia;08/07/1956;43.03;1.85
Vitor Gabriel Arag∆o;20/01/1901;64.94;1.49
Evelyn Lopes;21/03/2007;148.06;2.09
Maria Vit¢ria Ribeiro;15/01/1966;119.69;1.85
Sra. Melissa Melo;27/12/2011;113.18;1.77
Cauà Mendes;10/07/1960;69.22;1.5
Matheus Porto;24/08/1947;88.47;1.47
Rodrigo Nogueira;09/06/1983;75.64;1.47
Nina Melo;16/10/2011;119.49;1.95
Diego Freitas;27/02/1973;149.89;2.07
Giovanna Silva;04/12/1988;105.03;1.58
Kevin da Costa;19/04/1977;132.64;2.1
Srta. Milena Melo;18/04/1974;81.22;1.55
Luiz Felipe Cardoso;29/08/1977;47.4;1.75
Luna Silva;28/08/2006;141.5;1.42
Alexia Almeida;15/05/1933;90.34;1.75
Amanda Nogueira;17/03/1907;62.88;1.53
Ana Beatriz Freitas;08/01/1931;66.45;1.9
Jo∆o Miguel Lima;18/02/1901;129.34;1.67
Davi Lucas Caldeira;27/11/1995;86.64;1.89
Raquel Cunha;08/06/1956;118.94;1.95
Kamilly da Mata;15/08/1994;124.76;1.55
Ben°cio Novaes;19/02/1977;83.93;2.05
Agatha Nascimento;09/03/2022;144.62;1.49
Maria Cec°lia Rodrigues;16/10/2016;57.6;1.83
Ana Carolina da Cunha;18/01/1962;110.61;1.7
Emanuella Freitas;17/01/2000;82.01;1.86
Luna Oliveira;26/11/1996;95.93;2.08
Luiz Miguel Melo;21/09/1970;58.88;1.69
Jo∆o Oliveira;10/10/2017;47.02;1.44
Maria Julia Lopes;14/04/1926;124.76;1.78
Ana Luiza Lima;26/08/1964;48.06;2.07
Ana Beatriz da Rosa;16/09/1963;58.99;1.73
Erick Farias;07/01/1934;130.54;1.74
Pedro Henrique Santos;23/05/1911;84.31;1.56
Beatriz Gomes;14/09/2002;88.19;1.89
Mariane Caldeira;22/05/1905;77.26;2
Carlos Eduardo da Costa;05/06/1903;45.29;2.04
Let°cia Martins;13/07/2016;68.6;1.92
Henrique das Neves;18/01/1964;99.57;2.03
Kamilly Lopes;08/02/1929;122.12;1.43
Agatha Pereira;15/10/1900;116.23;1.47
Maysa Melo;27/03/1920;60;1.54
Maria Clara Peixoto;31/08/1932;97.9;1.79
Breno Gonáalves;06/01/1951;143.84;1.76
Srta. Valentina Caldeira;19/07/1925;104.16;1.53
Kaique Souza;22/09/1949;71.84;1.84
Miguel da Mota;15/12/1973;130.9;1.89
Mariana Gomes;14/12/1927;109.24;1.84
Ot†vio Campos;22/09/1991;60.07;1.61
Calebe Nogueira;20/02/1909;139.93;1.49
Vinicius Costela;07/12/1908;148.51;1.8
Davi Moreira;08/08/1919;58.06;1.46
Srta. Amanda Souza;28/09/1936;94.62;1.81
Sabrina Moura;20/09/1929;59.16;1.94
Ana Beatriz Fogaáa;08/11/1976;92.93;1.87
Jo∆o Guilherme Silveira;19/08/2020;100.76;1.66
Davi Luiz Ferreira;02/12/1959;130.44;2.08
Bryan das Neves;06/08/1920;56.25;1.92
Marcos Vinicius Castro;20/11/1969;87.22;1.69
Bruno Cardoso;05/11/1913;42.08;1.77
Marcelo Alves;21/06/2007;40.9;2.07
Ian Azevedo;22/12/1953;74.24;1.54
Gustavo Henrique Silveira;09/06/1903;148.35;1.97
La°s Gomes;26/09/1928;78;2.02
Jo∆o Vitor Costa;23/09/1910;110.71;1.44
Igor Freitas;10/07/1927;66.14;1.66
Calebe da Mota;06/04/1907;84.75;1.54
Bruno Cardoso;25/05/1976;74.81;1.41
Murilo Dias;15/07/1904;74.1;1.89
Henrique Cunha;29/06/1925;131.62;1.93
Yago Barbosa;31/08/2019;59.3;1.83
Giovanna Novaes;15/02/1972;68.33;1.42
Maria Souza;14/11/1928;85.5;1.55
Srta. Nicole Silva;18/04/2010;106.89;1.47
Murilo da Mota;01/06/1921;70.99;1.95
Manuela Viana;25/05/1945;47.97;1.98
Pedro Gomes;21/03/1931;92.98;1.47
Olivia Carvalho;27/01/1934;131.69;1.61
Elisa Gonáalves;14/09/1972;72.43;1.92
Luna das Neves;07/07/1933;141.04;1.94
Maria Fernanda Rezende;05/02/1971;102.05;1.77
Ben°cio Azevedo;20/05/1994;139.65;1.73
Eloah da Rosa;24/10/2017;107.77;1.66
Fernando Mendes;30/04/1996;49.46;1.94
Jo∆o Felipe Castro;07/09/1999;44.43;2.03
Bianca Gomes;28/12/1917;98.64;1.66
Leandro Oliveira;08/05/1910;58.7;1.67
Alana Cavalcanti;25/04/2019;124.99;1.64
Dra. Cec°lia Correia;19/11/1927;78.14;1.97
Jo∆o Gabriel Arag∆o;12/09/1967;43.43;1.4
Enzo da Paz;04/01/1976;133.69;1.75
Luiz Miguel Monteiro;28/12/1946;110.4;1.8
Nicole Moreira;14/10/2010;66.46;1.85
Diogo Jesus;12/12/1987;87.72;1.94
Maria Vit¢ria da Luz;16/06/1913;95.46;1.64
Heitor Cunha;10/06/1932;101.96;2.06
Srta. Lav°nia da Cruz;25/09/1975;54.63;1.5
Sarah Novaes;21/02/1987;77.93;1.92
Dra. Maria Fernanda Vieira;19/11/1952;57.24;2.01
Emanuelly Jesus;14/08/1951;57.86;1.61
Maria Campos;30/01/2005;92.81;1.96
Isabella Cunha;18/01/1994;65.89;1.67
Bruna Freitas;29/03/2017;112.23;1.97
Al°cia Castro;16/06/1974;122.92;2.06
Murilo Lima;07/02/1978;63.3;1.82
Giovanna das Neves;03/11/1978;49.61;1.91
Nicole Mendes;30/12/2003;126.43;1.65
Pedro Moraes;10/12/1974;73.43;1.43
Lorenzo Oliveira;27/03/2003;55.09;1.61
Murilo Vieira;26/05/1959;124.27;1.7
Henrique Gonáalves;21/07/1906;140.52;1.87
Luigi Pinto;29/07/1984;63.25;2
Lara Monteiro;28/04/2003;93.02;1.76
Maria Vit¢ria Pinto;30/03/2004;148.43;1.6
Jo∆o Miguel da Costa;12/12/1904;70.34;2.04
Vit¢ria Oliveira;20/02/1905;116.12;1.47
Augusto da Cruz;19/08/1941;80.68;1.71
Luiz Miguel Monteiro;26/05/2004;149.71;1.45
Lorenzo Costela;01/05/1901;95.81;1.86
Srta. Lorena Pires;05/03/1916;118.57;2.07
Vicente Jesus;29/04/1954;70.19;2.01
Vitor Gabriel Azevedo;25/02/1919;101.71;1.73
Mariana Vieira;16/01/1980;96.88;1.68
Alice da Cruz;13/12/1976;72.8;1.97
Jo∆o Guilherme da Luz;21/10/2014;103.82;2.05
Emilly Dias;02/02/2024;112.87;1.84
Alexia Silva;27/05/2011;147.27;2.05
Brenda Moreira;05/03/1992;136.22;1.65
Raquel da Rocha;20/12/1930;83.43;1.43
Manuela Correia;22/10/2021;116.25;1.48
Cec°lia Oliveira;08/03/1950;67.39;1.43
Sra. Let°cia Ribeiro;06/05/2008;130.6;1.51
Calebe da Rocha;20/08/1926;84.25;1.5
Nathan Alves;16/03/1996;136.03;1.49
Mariana das Neves;25/08/2019;134.7;1.78
Enrico Cunha;25/05/1952;54.16;2.02
Davi Lopes;23/10/1916;71.1;1.48
Alana Silva;24/06/1935;134.95;1.46
Agatha Sales;24/12/1964;89.39;1.51
Bruno Barbosa;12/05/1973;75.62;1.68
Daniel Mendes;29/12/1943;132.1;2.03
Daniel Dias;18/02/1911;50.94;2.07
Jo∆o Guilherme Nogueira;02/02/1982;133.06;1.42
Srta. Kamilly da Paz;21/05/1916;48.1;1.82
Eloah Oliveira;31/01/1936;130.86;1.74
Maysa Cardoso;12/01/1904;81.83;1.48
Rafael Viana;04/01/1968;127.02;1.54
Dra. Sophie Dias;15/02/2024;74.47;2.06
Melissa Oliveira;21/08/1916;56.54;1.48
Luiza Freitas;17/11/1980;93.04;2.03
J£lia Freitas;15/12/1918;70.23;1.65
Ana Beatriz Santos;01/09/1909;104.06;2.01
Juan Mendes;02/06/1977;44.89;1.49
Felipe Azevedo;23/11/1946;60.37;1.62
Arthur Freitas;23/12/2016;131.74;1.81
Sophia Ribeiro;09/01/1910;85.69;2.05
Elisa Monteiro;05/09/2012;107.67;1.5
Alexandre Caldeira;04/12/1996;91.15;1.59
Maria Moraes;14/02/1932;120.22;1.46
Igor Caldeira;20/07/2023;85.06;1.82
Levi Martins;25/02/1901;95.94;1.76
Thomas Rezende;23/02/2005;145.82;1.96
Luna Santos;08/07/1942;58.33;1.57
Pedro Lucas Ribeiro;08/04/1982;131.37;1.97
Pietro Novaes;06/01/2008;78.71;2.07
Gabriel Novaes;17/02/1999;60.08;1.58
Sabrina Vieira;28/11/1960;104.37;2.02
Paulo da Conceiá∆o;03/10/1988;98.36;1.94
Ana Beatriz Correia;15/08/1908;46.73;1.43
Jo∆o Vitor Duarte;18/11/1971;92.48;2.02
Sra. Ana Rodrigues;15/05/1921;117.01;2.01
Kaique Novaes;08/08/1957;84.9;1.71
Ben°cio Pinto;12/03/1957;122.66;1.84
Danilo Nascimento;07/10/2004;77.78;1.7
Luiz Ot†vio da Costa;14/12/1973;59.12;1.65
Diego Nascimento;12/06/1941;64.43;1.78
Thiago Nogueira;26/11/2003;70.01;2.08
Sra. Alexia Moraes;04/05/1926;134.97;2.09
Francisco Moura;15/05/1914;81.03;1.78
Thales da Cruz;12/01/1969;74.72;1.56
Leonardo Dias;05/06/1979;139.29;1.42
Leandro Pinto;27/11/1980;119.43;2.1
Luana Jesus;25/02/1927;70.64;1.88
Maysa Gonáalves;28/08/1913;106.94;1.9
Brenda Azevedo;08/12/1955;67.99;1.8
Yasmin Dias;28/11/1991;56.08;1.81
Nathan Cavalcanti;25/12/1900;81.68;2.05
Sofia Costa;29/10/2001;65.54;2.02
Arthur Azevedo;27/08/1988;75.07;1.48
Joana Sales;01/03/1945;91.72;1.78
Kevin Cardoso;29/04/1900;138.57;1.76
Lav°nia Rocha;27/09/1970;105.11;1.83
Jo∆o Vitor Dias;15/08/1920;126.22;1.77
Marcelo Campos;05/11/2002;77.12;1.53
Pedro Lucas Jesus;18/05/2017;74.51;1.68
Murilo Lima;22/05/1939;93.19;1.77
Milena Fogaáa;27/03/1988;135.73;1.42
Yuri Castro;27/02/1939;90.46;1.73
Ian Rocha;06/11/1958;87.65;1.46
Ana Luiza Duarte;14/12/2009;43.13;1.85
Gabriel Gonáalves;11/03/1901;62.85;1.5
Julia Ribeiro;01/04/1952;131.93;1.67
Sabrina Melo;21/12/1920;125.22;1.76
Breno Martins;29/01/1945;111.55;1.77
Helo°sa Nogueira;19/02/1940;139.66;2.05
Carlos Eduardo Dias;23/04/1939;65.04;1.67
Sra. Isadora Farias;11/07/2022;50.62;1.48
Rafaela da Costa;25/11/1908;125.3;2.08
Carolina Cavalcanti;16/11/1918;142.32;1.53
Dra. Isabelly Cardoso;05/05/1964;95.63;1.77
Diogo Lopes;27/09/1913;148.82;1.58
Luiz Fernando Teixeira;20/11/1932;126.84;1.76
Sra. Fernanda Santos;07/05/1915;125.94;1.45
Lucas Gabriel Cavalcanti;13/09/1916;58.98;1.78
Lucas Gabriel da Conceiá∆o;17/07/2019;64.29;1.52
Sra. Juliana Lopes;05/04/2023;91.44;1.6
Nat†lia Ferreira;30/09/1927;71.26;1.76
Breno Nogueira;26/05/1910;134.35;2.08
Isabelly da Rocha;17/04/1949;76.99;1.54
Paulo da Luz;28/06/1993;145.36;2.04
Maità Castro;29/11/1934;80.09;1.55
Mariana das Neves;06/03/1983;128.26;1.81
Milena Martins;02/07/1914;128.4;1.5
Leandro Viana;19/04/1945;92.17;2.01
Stella Ribeiro;20/04/1918;52.05;1.93
Ana Carolina Arag∆o;25/04/1913;115.68;1.49
Luiz Felipe Nogueira;25/05/1934;40.03;1.81
Gustavo Moura;10/05/1919;51.8;1.57
Emanuelly Arag∆o;23/12/2023;134.03;1.75
Paulo Correia;01/11/1920;49.74;1.55
Pietro Martins;17/12/1936;40.83;1.61
Eloah Vieira;18/11/1909;60.74;1.8
Elisa Rezende;04/02/1979;76.07;1.52
Danilo Jesus;23/04/2016;44.35;1.84
Joana Moreira;17/07/1958;75.23;1.66
Camila Souza;10/05/1974;137.52;1.64
Isaac Rocha;31/12/2023;122.19;2.07
Daniela Oliveira;28/09/1999;139.16;1.89
Maysa Gonáalves;28/05/1922;83.98;1.48
Jo∆o Pedro da Costa;04/04/1901;88.5;1.8
Marcelo Moura;20/04/1921;41.7;1.41
Evelyn Fogaáa;07/10/1958;80.24;1.92
Olivia Farias;23/02/1957;75.73;1.79
Murilo Cavalcanti;30/03/1984;94.41;2.04
Samuel Cardoso;23/02/2004;113.44;1.64
Vicente Moura;27/04/1940;113.86;2.05
Kevin Melo;23/02/1977;100.3;1.68
Ben°cio da Cunha;04/03/1955;128.47;1.56
Sra. Alana Duarte;18/09/1938;89.86;1.58
Ana Carolina Silva;24/11/1944;70.43;1.82
Bernardo da Mata;17/10/2007;146.58;1.66
Gustavo Henrique Cunha;26/09/1927;149.7;1.56
Maria Luiza Silva;16/09/1948;77.81;1.75
Anthony Pinto;01/11/1991;54.65;2.06
Ryan das Neves;25/11/1915;99.99;2.03
Noah Moura;04/04/1995;81.46;1.64
Mirella Cardoso;15/09/1979;123.6;1.98
Gabriela Nunes;21/05/1991;53.96;1.45
Gabriela Ribeiro;12/03/1913;91.15;2.05
Samuel Pinto;20/08/1958;53.11;1.71
Agatha da Cunha;29/01/1911;86.39;1.77
Jo∆o Guilherme Pinto;08/09/1921;96.91;1.8
Alexandre da Rocha;05/08/1931;69.48;1.62
Thales Rocha;06/02/1940;137.77;1.42
Luana Gomes;13/03/2001;130.9;1.67
Dra. Luana Pereira;15/12/1979;52.52;1.52
Pietra Duarte;17/07/1915;97.82;1.85
Maysa Cunha;14/12/2017;58.69;1.56
Sophia Cunha;17/10/1944;125.5;2
Maria Fernanda Ferreira;22/11/1912;53.33;1.57
Nat†lia Nunes;16/07/1927;125.45;1.44
Bruno Rezende;29/04/1980;120.25;1.88
Vitor Gabriel Costela;07/04/1957;47.86;1.59
Maità Santos;29/01/1901;113.74;1.76
Yago Monteiro;31/03/1917;138.63;1.78
Jo∆o Pedro Pereira;22/07/2007;138.9;1.62
Leonardo Souza;04/11/1967;140.37;1.95
Fernanda Cavalcanti;19/07/1991;98.08;1.97
B†rbara Ara£jo;11/09/1979;88.44;1.97
Marcela Campos;12/04/1923;148.85;1.89
Matheus Almeida;18/03/1928;76.72;2.02
Dra. Ana da Mata;08/02/1934;67.15;1.51
Jo∆o Vitor da Mota;03/09/1913;103.02;1.99
Luiz Ot†vio Santos;17/06/2018;115.28;1.63
Alice da Mota;08/12/1975;74.29;1.86
Raul Rodrigues;22/05/1994;71.29;2.03
Ryan Lima;24/11/1972;56.85;1.86
Ian Jesus;23/10/1929;50.13;2.08
Melissa da Paz;10/02/2003;144.53;2.09
Maità Fogaáa;08/10/1985;54.92;1.78
L°via Barbosa;28/09/1904;103.19;1.69
Yuri Ramos;25/04/2011;89.05;2.04
Francisco Vieira;28/02/1921;118.28;1.69
Luiz Felipe Duarte;31/12/1920;102.92;1.54
Maria Cec°lia Farias;08/04/1914;45.95;1.82
Leonardo Melo;19/02/1956;108.22;1.67
Srta. Giovanna da Mata;11/09/1967;122.26;1.59
Dra. Cec°lia da Paz;03/06/1944;82.85;2.09
Daniel Ferreira;15/11/1913;40.83;1.85
Melissa Nogueira;20/04/1953;45.32;1.75
Agatha Lima;09/09/2003;92.19;1.75
Pietro Arag∆o;06/04/1998;55.08;1.84
Pedro Henrique Duarte;29/05/2001;92.73;1.95
Thomas Caldeira;04/10/1962;46.46;1.93
Enrico Santos;08/02/1907;74.34;1.73
Alice Mendes;26/01/1915;95.94;1.91
Paulo Souza;29/07/1901;45.82;1.76
Thiago Freitas;15/06/1978;91.31;1.78
Nicolas Pires;21/06/1934;65;1.77
Davi Lucas Ara£jo;03/04/1944;105.77;2.09
Paulo da Mota;30/06/1903;145.73;1.94
Clara Barbosa;05/07/2018;117.04;1.99
Ana Cavalcanti;21/08/1930;55.4;1.75
Gabriela Farias;11/09/1908;98.94;1.53
Danilo Ara£jo;06/03/1906;96.67;1.5
Luiz Fernando Pinto;29/11/1925;117.72;1.98
Olivia Sales;30/05/2004;51.18;1.75
Emanuella Arag∆o;26/06/1991;109.05;1.83
Bruno Nascimento;07/04/1983;131.51;1.61
Gabrielly Silveira;05/05/1956;107.25;1.63
Gustavo Jesus;30/12/1915;117;1.65
AndrÇ Melo;19/09/1994;69.56;1.5
Danilo Ribeiro;11/03/2005;108;1.4
Jo∆o Pedro Ribeiro;18/12/1947;88.53;1.67
Ana Fernandes;22/04/1984;66.84;2
Srta. Agatha Ferreira;07/11/1927;137.77;1.98
Maria Vit¢ria Jesus;24/08/1961;140.35;1.64
Anthony Duarte;07/06/1910;45.64;1.89
Al°cia da Rocha;12/03/1987;106.89;1.61
Ana Laura Lima;23/07/1981;138.25;1.66
Ryan da Mata;07/03/1965;103.05;1.77
Davi Lucca Campos;16/02/1910;101.57;1.6
Pietro Dias;02/04/1984;106.54;1.81
Maria Julia Nascimento;02/01/1925;110.76;1.6
Caroline Oliveira;03/02/1973;140.5;1.88
Ana Vit¢ria da Conceiá∆o;24/09/1960;76.63;1.59
Alice Costela;13/08/1914;130.51;2.07
Sophie Correia;05/01/1945;58.98;1.54
Cec°lia Gomes;15/04/1971;73.47;2.04
Rebeca Mendes;29/07/2020;84.11;1.79
Ryan Peixoto;27/05/1949;55.41;1.79
Nicolas Nunes;19/08/1967;48.51;1.76
Vitor Gabriel Teixeira;15/08/1958;129.9;2.09
Sra. Maità Souza;11/02/1923;50.78;1.93
Samuel Almeida;01/12/1986;97.53;1.54
Carlos Eduardo Correia;25/10/1921;103.17;1.46
Maria Azevedo;29/08/1937;87.92;1.96
Renan Rocha;15/11/1990;92.58;1.48
Gustavo Henrique Silveira;05/12/1989;109.8;2.09
L°via Santos;26/11/1992;45.17;1.87
Luiz Fernando das Neves;22/08/1910;61.96;1.8
Srta. Ana Sophia das Neves;09/03/1969;40.38;1.41
Murilo Nogueira;27/04/1986;110.61;1.53
Luiz Henrique Monteiro;03/04/1914;82.31;1.47
Jo∆o Pedro Novaes;27/03/1942;44.75;1.75
Henrique Ramos;05/09/1998;145.92;1.6
Felipe Farias;01/04/1947;92.31;1.85
Vitor Hugo Jesus;28/04/1997;81.11;2
Leandro da Mata;20/10/1984;122.52;2.01
Evelyn Lima;31/01/1934;72.15;1.75
Evelyn Sales;22/06/1909;112.21;1.48
Benjamin Pinto;27/06/1908;73.34;1.8
Helo°sa Rocha;23/02/1998;114.51;2.04
Isabel Arag∆o;13/06/1950;61.15;1.81
Lav°nia Ferreira;27/08/1967;106.14;1.82
Luiz Gustavo Fogaáa;26/02/1938;88.81;2.08
Alexandre da Paz;22/10/1998;139.24;1.53
Agatha Cavalcanti;23/01/1913;47.84;2.05
Erick Vieira;05/09/1908;44.18;1.42
Ana Laura Nunes;02/03/1964;48.68;2.04
Luiz Miguel Campos;21/04/1922;129.17;1.96
Dra. Larissa Barbosa;29/11/2011;113.04;1.67
Ana Luiza Cunha;25/10/2000;128;1.4
Daniel Monteiro;04/09/1949;112.57;1.88
Calebe Pinto;30/11/1988;128.13;1.59
Srta. Laura da Mata;10/08/1960;104.89;1.84
Joaquim Arag∆o;30/08/1916;93.05;1.92
Antìnio Ribeiro;21/02/1986;59.82;1.91
Kaique da Mota;02/11/1915;109.5;1.47
Levi Jesus;27/07/2009;105.87;1.46
Pedro Lucas Gomes;07/12/1955;42.68;1.98
Srta. Maria Sophia Dias;28/12/2012;98.79;1.97
Sophia Rezende;20/02/1945;50.63;1.43
Arthur Correia;25/10/1985;54.02;1.54
Rafaela Melo;23/11/1955;48.4;2.02
Miguel Cardoso;23/09/2003;126.44;1.7
Juan Moraes;23/06/2008;79.92;1.79
Jo∆o Felipe Costa;06/07/1996;85.42;1.73
Gabrielly Nascimento;12/08/2003;149.88;1.66
Maria Vit¢ria Lima;21/08/1942;94.41;1.47
Marcos Vinicius da Paz;06/05/1952;115.84;1.78
Bianca Moura;26/01/1971;138.87;1.47
Augusto Duarte;24/09/1932;81.3;1.44
Sra. Evelyn Dias;30/10/1942;41.32;2.1
Bruna Melo;16/04/1936;118.09;1.67
Sra. Evelyn Moraes;04/02/2015;126.37;1.69
Let°cia Lima;23/07/1903;58.45;1.45
Mariane Santos;06/04/1933;108.93;2.08
Isabelly Silva;11/02/2014;120.23;1.98
Bryan da Mota;24/12/1968;101.81;1.67
Thales Barbosa;04/01/1919;78.34;1.58
Mirella Silveira;24/05/1985;85.25;1.73
Maria Cec°lia Freitas;27/04/2020;88.35;1.74
Levi da Mota;13/08/1975;117.19;1.8
Dra. Ana Carolina Pinto;26/09/1960;71.22;1.98
Valentina Costela;17/10/1971;141.84;1.63
Pietra Rodrigues;12/12/1916;148.63;1.74
B†rbara Nascimento;24/09/1959;83.19;1.41
Rebeca Carvalho;06/05/1929;131.54;1.68
Ian Moraes;28/04/1981;68.26;1.47
Isis da Cruz;02/06/1963;44.59;1.75
Mariana da Costa;11/06/1961;67.28;1.62
Nicolas Monteiro;09/03/2007;88.87;1.53
Raul da Paz;23/05/1921;64.51;1.83
Isabella da Mata;21/01/1999;106.64;1.74
Emanuella Viana;11/03/1977;106.29;2.09
Luna Silveira;16/10/1930;128.13;2.01
Pedro Henrique da Cruz;14/06/1924;83.81;1.62
Srta. Stella da Luz;12/06/1978;59.33;1.87
Luiz Fernando da Paz;10/09/1944;139.64;1.48
Isabelly Costa;15/02/1908;48.87;2.02
Maria Vit¢ria Cunha;01/02/2018;76.75;1.9
Dra. Luana Vieira;13/08/1956;132.82;1.82
Enzo Silveira;03/03/1985;59.6;2.02
Stephany da Paz;16/09/1935;148.19;1.66
Noah da Conceiá∆o;28/05/2020;80.37;1.92
Sra. Fernanda Freitas;29/06/1958;118.31;1.53
Dra. Rafaela Fogaáa;13/03/2021;72.03;1.58
Murilo Pires;14/02/1950;89.75;1.86
Ana Fernandes;09/09/1996;46.82;1.42
Maità da Rosa;25/10/1939;72.56;2.01
Kamilly Santos;04/11/1972;108.82;1.71
Jo∆o Vitor Farias;02/11/1929;126.91;2.07
Diogo Moreira;03/12/1927;52.35;1.58
Felipe Pires;07/11/1991;87.02;1.57
Isadora da Cruz;17/07/1959;142.38;1.76
Luiz Fernando das Neves;23/06/2009;86.84;2
Clarice Pinto;20/04/1902;60.2;1.94
Luana Mendes;18/12/1904;129.79;1.89
Bruna Gomes;19/03/1947;148.06;1.84
Beatriz Barbosa;03/07/2007;148.51;1.48
Dra. Al°cia Caldeira;17/12/1946;68.62;1.49
Anthony Ramos;04/11/1929;68.19;2.08
Catarina Castro;19/09/1977;106.76;2.04
Thiago Moura;26/10/1986;85.45;1.53
Dra. Maria Cec°lia Sales;07/01/1995;67.86;1.86
Let°cia Mendes;12/06/2009;103.24;1.67
Ana Sophia da Cruz;04/03/2000;125.65;1.94
Benjamin Rocha;22/08/1936;86.6;1.45
Alice Azevedo;28/07/1969;54;2.06
Arthur Caldeira;02/12/2006;144.25;1.41
Fernando Barros;16/02/1940;64.7;1.45
Breno Novaes;20/07/1993;43.74;1.92
Ot†vio Gonáalves;25/01/2016;77.18;1.68
Dra. Melissa Nunes;14/01/1958;123.73;1.81
Dra. Larissa Lima;10/03/1925;86.32;1.64
Maysa Monteiro;11/02/2005;108.96;1.52
Jo∆o Santos;26/01/2000;40.65;1.71
Sra. Clarice da Mata;15/12/1966;59.25;1.49
Srta. Mariana da Costa;31/12/1932;86.78;2.03
Yuri Cardoso;15/06/1904;51.46;1.47
Antìnio Sales;27/10/2004;103.4;2
Brenda da Costa;10/09/1942;108.51;1.71
Maria Luiza Moreira;25/08/1963;90.85;1.95
Emanuel Duarte;27/04/1982;44.73;1.98
Noah Moura;02/11/1920;105.07;1.97
Marcos Vinicius Pereira;17/09/1966;83.33;1.86
Erick das Neves;20/11/1910;56.42;1.93
Alana Lopes;12/12/1946;122.89;1.76
Isabel Moraes;21/06/2008;94.9;1.75
Ian Alves;30/11/1915;123.83;2.01
Jo∆o Guilherme Costela;13/04/1900;67.69;1.96
Danilo Rodrigues;30/10/1964;120.64;1.71
Kevin Ramos;05/03/2011;110.18;1.9
Alexandre Porto;07/02/1990;54.8;1.65
Elisa Viana;12/10/2021;69.17;1.83
Helena Arag∆o;16/10/1960;88.28;2.05
Laura Costa;03/08/1909;68.72;1.59
Alice Lima;04/08/1961;118.8;1.73
Isabella da Cruz;12/04/1973;100.13;1.99
J£lia Vieira;11/07/1979;46.36;1.69
Caroline Costela;03/03/2008;55.3;1.93
Leonardo Lima;27/09/2007;62.03;1.5
Luiz Gustavo Arag∆o;06/10/1947;109.58;1.41
Maria Luiza Nogueira;15/02/2023;130.99;2.01
Lorenzo Gonáalves;25/06/1991;63.72;1.63
Marcos Vinicius das Neves;14/11/1951;149.1;1.98
Rafaela Correia;27/08/1979;140.92;1.68
Diego Costela;15/05/1907;83.16;1.92
Pedro da Rosa;08/06/1938;71.69;1.44
Kaique Cardoso;05/05/1985;46.64;1.42
Thiago Pires;04/10/1956;148.58;1.57
Nat†lia da Mota;25/06/1982;95.21;1.7
Fernanda da Cunha;27/05/2015;55.71;1.92
Fernando Almeida;25/09/1953;68.74;1.58
Pedro Henrique Teixeira;05/10/1990;101.25;1.7
Ian Gonáalves;09/06/1906;122.7;2.03
Joana Viana;15/11/1932;90.73;2.03
Davi Lucas Lopes;10/01/2020;90.79;1.95
Jo∆o Lucas da Costa;04/06/1991;84.4;1.62
Juliana Azevedo;10/09/1916;69.34;1.99
Dra. Lorena Melo;23/07/1918;100.73;1.55
Melissa Costa;06/07/1920;118.71;1.86
Sra. Elisa das Neves;17/01/1919;93.74;1.94
Eduarda Nunes;29/04/1913;148.19;1.93
Lucas Gabriel Martins;18/07/1959;133.72;1.72
Helena Rocha;20/12/1904;66.15;1.51
Eduardo Rodrigues;19/07/1954;40.82;1.87
Augusto Freitas;21/11/1914;68.26;1.98
Pedro Miguel da Mata;08/07/1946;105.19;1.74
Ana J£lia Ferreira;14/11/1975;133.24;1.69
Ana Peixoto;17/10/1909;75.8;1.69
Maria Vit¢ria Costa;27/08/1905;136.87;1.71
Yago Moreira;28/10/2006;104.26;1.59
Marcos Vinicius Viana;25/04/2019;138.28;1.97
Marcela da Mota;18/05/1933;45.8;1.78
Jo∆o Gabriel Correia;07/01/1938;89.45;1.56
Evelyn Gonáalves;28/02/1991;134.39;1.58
Beatriz Mendes;21/12/1922;77.71;1.46
B†rbara Correia;02/04/1921;62.49;1.54
Ryan da Mota;06/06/1949;142.37;1.69
Maria Alice Gonáalves;22/08/1950;49.27;1.69
Stephany Nascimento;16/07/2001;61.37;1.85
Diogo Azevedo;08/11/1968;41.32;1.64
Yasmin da Costa;29/01/1976;63.89;1.93
Srta. Pietra Viana;08/02/1993;111.38;1.92
Enzo Pires;13/12/1908;75.1;2.08
Caio Oliveira;10/06/1956;69.42;1.97
Cau∆ da Rocha;18/04/1936;137.04;1.82
Jo∆o Pedro Viana;21/06/1929;71.56;1.78
Ana Julia Duarte;13/08/2015;99.97;1.64
Jo∆o Moura;08/03/1910;57.8;1.4
Carlos Eduardo Porto;06/04/1941;116.82;1.7
Caio Lopes;17/12/1902;141.47;1.44
Sarah Lima;04/06/2004;60.52;1.63
Ana Clara Rocha;14/01/1954;59.13;1.64
Ben°cio Nunes;28/02/1927;136.45;1.74
Yasmin Fogaáa;19/08/1966;59.1;1.53
Luiz Felipe Melo;26/04/2000;123.01;1.59
Ana J£lia Rodrigues;12/03/1932;113.5;2.03
Henrique Rocha;23/02/1995;93.72;1.95
